(-12.3, -4.8, 49.8)
(25.5, 1.9, 53.6)
(-0.4, 9.1, 44.7)
(-10.0, 11.4, 55.6)
(10.6, -2.1, 107.4)
(11.2, 0.1, 53.0)
(-1.0, -9.8, 53.1)
(-14.1, -10.3, 53.3)
(17.0, 4.2, 63.9)
(6.7, -2.1, 71.0)
(-5.4, -10.6, 37.1)
(6.4, 9.7, 36.0)
(-37.4, 1.4, 55.0)
(-19.4, 5.7, 36.9)
(-5.8, 7.2, 43.1)
(-5.8, 3.0, 37.9)
(27.5, 9.0, 54.0)
(14.1, 8.5, 43.0)
(0.3, 17.5, 49.8)
(-8.1, 18.0, 60.8)
(5.3, 3.5, 38.8)
(-41.1, 23.9, 58.2)
(-28.3, 21.4, 51.5)
(-17.2, 20.7, 42.2)
(19.3, 0.0, 40.3)
(0.0, 0.0, 66.9)
(21.4, 16.9, 38.8)
(33.8, 3.6, 59.4)
(23.1, -7.6, 44.4)
(28.1, -3.1, 50.8)
(5.2, -7.5, 49.7)
(12.2, -15.2, 55.0)
(16.7, -7.4, 43.6)
(10.1, -1.9, 35.9)
(10.7, -0.4, 55.5)
(8.4, -5.4, 29.3)
(-20.9, -0.4, 32.5)
(15.6, -0.3, 34.1)
(-14.1, -2.8, 29.7)
(15.3, 4.0, 33.6)
(3.0, -10.5, 28.4)
(-10.6, 6.9, 31.0)
(-29.9, 4.7, 34.6)
(14.1, 16.6, 41.9)
(-31.9, 7.9, 52.0)
(0.4, 0.0, 31.5)
(-15.4, 9.6, 32.2)
(-11.8, 2.7, 26.9)
